reference_id,customer_id,city,state,service_history,common_problem,historical_solution,vehicle_brand,data_nature
VS-0410,402,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Maruti Swift,public-reference
VS-0411,403,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Toyota Corolla,public-reference
VS-0412,404,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Scratched headlights,Headlight restoration,Ford EcoSport,public-reference
VS-0413,405,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Hyundai Verna,public-reference
VS-0414,406,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Chevrolet Beat,public-reference
VS-0415,407,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Tata Nexon,public-reference
VS-0416,408,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Nissan Micra,public-reference
VS-0417,409,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Renault Duster,public-reference
VS-0418,410,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Mahindra XUV300,public-reference
VS-0419,411,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Kia Seltos,public-reference
VS-0420,412,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Tata Tiago,public-reference
VS-0421,413,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Skoda Rapid,public-reference
VS-0422,414,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Scratched headlights,Headlight restoration,Volkswagen Polo,public-reference
VS-0423,415,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Nissan Sunny,public-reference
VS-0424,416,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Honda Jazz,public-reference
VS-0425,417,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Ford Figo,public-reference
VS-0426,418,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Maruti Baleno,public-reference
VS-0427,419,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Hyundai Creta,public-reference
VS-0428,420,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Mahindra Thar,public-reference
VS-0429,421,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Hyundai Elite i20,public-reference
VS-0430,422,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Tata Harrier,public-reference
VS-0431,423,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Scratched headlights,Headlight restoration,Kia Carnival,public-reference
VS-0432,424,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Toyota Innova,public-reference
VS-0433,425,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Skoda Kushaq,public-reference
VS-0434,426,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Maruti Suzuki Vitara Brezza,public-reference
VS-0435,427,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Nissan Magnite,public-reference
VS-0436,428,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Honda Accord,public-reference
VS-0437,429,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,MG Hector,public-reference
VS-0438,430,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Mahindra Scorpio,public-reference
VS-0439,431,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Tata Safari,public-reference
VS-0440,432,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Hyundai i20,public-reference
VS-0441,433,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Honda WR-V,public-reference
VS-0442,434,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Maruti Celerio,public-reference
VS-0443,435,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Renault Captur,public-reference
VS-0444,436,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Tata Nexon,public-reference
VS-0445,437,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Ford EcoSport,public-reference
VS-0446,438,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Mahindra KUV100,public-reference
VS-0447,439,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Nissan Kicks,public-reference
VS-0448,440,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Skoda Octavia,public-reference
VS-0449,441,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,MG Hector Plus,public-reference
VS-0450,442,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Hyundai Venue,public-reference
VS-0451,443,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Hyundai,public-reference
VS-0452,444,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Mahindra Thar,public-reference
VS-0453,445,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Ford EcoSport,public-reference
VS-0454,446,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Renault Duster,public-reference
VS-0455,447,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Tata Harrier,public-reference
VS-0456,448,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Maruti Alto,public-reference
VS-0457,449,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Hyundai Creta,public-reference
VS-0458,450,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Honda WR-V,public-reference
VS-0459,451,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Scratched headlights,Headlight restoration,Tata Nexon,public-reference
VS-0460,452,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Ford Figo,public-reference
VS-0461,453,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Renault Duster,public-reference
VS-0462,454,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Mahindra,public-reference
VS-0463,455,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Maruti Swift,public-reference
VS-0464,456,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Hyundai i20,public-reference
VS-0465,457,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Tata Harrier,public-reference
VS-0466,458,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Honda City,public-reference
VS-0467,459,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Maruti Baleno,public-reference
VS-0468,460,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Toyota Yaris,public-reference
VS-0469,461,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Hyundai Venue,public-reference
VS-0470,462,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Nissan Kicks,public-reference
VS-0471,463,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Tata Nexon,public-reference
VS-0472,464,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,MG Hector,public-reference
VS-0473,465,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Ford EcoSport,public-reference
VS-0474,466,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Renault Captur,public-reference
VS-0475,467,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Skoda Kushaq,public-reference
VS-0476,468,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Honda Accord,public-reference
VS-0477,469,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Maruti Vitara Brezza,public-reference
VS-0478,470,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Hyundai Creta,public-reference
VS-0479,471,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Tata Nexon,public-reference
VS-0480,472,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Ford EcoSport,public-reference
VS-0481,473,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Nissan Magnite,public-reference
VS-0482,474,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Mahindra Thar,public-reference
VS-0483,475,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Toyota Innova,public-reference
VS-0484,476,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Hyundai Elite i20,public-reference
VS-0485,477,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Renault Duster,public-reference
VS-0486,478,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Tata Harrier,public-reference
VS-0487,479,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Maruti Swift,public-reference
VS-0488,480,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Honda WR-V,public-reference
VS-0489,481,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Ford Figo,public-reference
VS-0490,482,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Hyundai Creta,public-reference
VS-0491,483,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,MG Hector,public-reference
VS-0492,484,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Toyota Fortuner,public-reference
VS-0493,485,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Tata Nexon,public-reference
VS-0494,486,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Nissan Kicks,public-reference
VS-0495,487,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Honda,public-reference
VS-0496,488,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Mahindra XUV300,public-reference
VS-0497,489,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Ford EcoSport,public-reference
VS-0498,490,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Hyundai Venue,public-reference
VS-0499,491,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Tata Tiago,public-reference
VS-0500,492,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Renault Captur,public-reference
VS-0501,493,Ananthapuram,Andhra Pradesh,Headlight Restoration; Engine Tune-Up,Faded headlights,Headlight restoration,Skoda Kushaq,public-reference
VS-0502,494,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Maruti Vitara,public-reference
VS-0503,495,Ananthapuram,Andhra Pradesh,Headlight Restoration; Battery Replacement,Cloudy headlights,Headlight restoration,Toyota Yaris,public-reference
VS-0504,496,Ananthapuram,Andhra Pradesh,Headlight Restoration; Suspension Check,Dull headlights,Headlight restoration,Hyundai Creta,public-reference
VS-0505,497,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Alignment,Cloudy headlights,Headlight restoration,Tata Nexon,public-reference
VS-0506,498,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Mahindra Scorpio,public-reference
VS-0507,499,Ananthapuram,Andhra Pradesh,Headlight Restoration; Brake Check,Dim headlights,Headlight restoration,Nissan Kicks,public-reference
VS-0508,500,Ananthapuram,Andhra Pradesh,Headlight Restoration; Tire Rotation,Yellowed headlights,Headlight restoration,Honda Accord,public-reference
